sale_id;branch_id;shoe_id;sale_date;َquantity_sold;total_price
965600;1;SA819;29.01.2024;3;450
812647;3;FO622;10.11.2024;2;460
919003;3;SA627;05.08.2024;3;450
873105;2;BO381;05.10.2024;1;300
701505;2;SN401;04.02.2024;3;540
766754;2;HE320;15.03.2024;1;250
982264;2;HE178;29.08.2024;2;500
285665;2;HE888;28.07.2024;2;500
178486;3;BA434;08.08.2024;4;480
714934;1;SN964;18.01.2024;4;720
919564;3;CA252;18.02.2024;4;760
229984;2;FO429;23.09.2024;3;690
526984;3;SA674;16.01.2024;1;150
212477;3;BA398;16.10.2024;2;240
295574;2;SA495;16.05.2024;4;600
423716;1;FO437;31.01.2024;2;460
141016;2;FO928;18.11.2024;2;460
982016;1;HE997;13.03.2024;3;750
506411;2;CA542;16.05.2024;3;570
395942;3;SA372;28.12.2024;1;150
337854;3;SN211;25.02.2024;1;180
837661;2;BO605;27.12.2024;2;600
846025;3;BA251;30.06.2024;4;480
507811;3;SA600;29.06.2024;1;150
879752;2;HE348;27.04.2024;4;1000
237631;3;BO605;15.03.2024;3;900
132261;1;SA167;25.12.2024;3;450
649485;2;BA249;25.04.2024;3;360
798209;2;FO246;09.01.2024;3;690
351630;2;BO370;02.02.2024;3;900
426742;3;SN503;03.06.2024;4;720
150633;1;FO540;06.10.2024;1;230
868519;3;HE206;12.05.2024;2;500
878910;2;BA201;05.09.2024;4;480
293810;1;FO696;06.05.2024;2;460
569862;2;SA549;07.03.2024;1;150
189645;2;BO185;02.02.2024;2;600
330386;2;BO158;21.06.2024;1;300
839238;3;HE549;04.08.2024;4;1000
751948;1;CA293;31.03.2024;4;760
337533;1;BO158;13.02.2024;1;300
619640;2;FO149;03.09.2024;2;460
170071;1;HE851;14.05.2024;4;1000
818070;2;HE724;25.02.2024;1;250
197393;3;SN398;08.09.2024;3;540
792836;1;BA816;28.12.2024;1;120
731275;1;CA730;21.12.2024;1;190
391205;2;FO433;27.06.2024;1;230
481208;2;HE839;17.10.2024;4;1000
811241;1;SN138;02.07.2024;2;360
761189;3;FO540;24.05.2024;1;230
412530;3;HE116;15.02.2024;1;250
697101;3;SA991;12.05.2024;4;600
891514;2;CA166;28.12.2024;4;760
643210;3;BO623;10.06.2024;3;900
167137;3;SN512;26.03.2024;2;360
123448;1;HE206;06.09.2024;1;250
436802;2;SN935;25.07.2024;2;360
360667;2;FO696;22.07.2024;3;690
848333;3;SN398;16.11.2024;2;360
477694;2;BO125;11.05.2024;3;900
563546;3;SA770;16.05.2024;3;450
167941;2;CA798;15.01.2024;4;760
754296;1;BA398;29.01.2024;3;360
687489;1;SA793;06.03.2024;2;300
107299;1;BO995;18.06.2024;1;300
354790;3;BO370;14.04.2024;3;900
106007;3;CA895;19.09.2024;1;190
447673;2;FO538;23.02.2024;2;460
252690;1;BA120;11.12.2024;2;240
874410;2;BA831;12.04.2024;2;240
667679;3;BA781;15.09.2024;2;240
759551;1;BA929;12.02.2024;3;360
755661;2;CA807;11.09.2024;2;380
932012;3;SN497;22.04.2024;1;180
450102;2;SA991;09.01.2024;1;150
219507;2;SA807;20.12.2024;1;150
282635;2;SA600;12.08.2024;4;600
790078;1;FO811;13.06.2024;4;920
202468;3;FO704;18.09.2024;3;690
705577;3;FO581;09.02.2024;2;460
954335;3;BA590;22.12.2024;2;240
561886;2;SN521;23.10.2024;2;360
714860;1;SN211;05.06.2024;2;360
951296;2;BA872;05.12.2024;1;120
433331;2;HE348;05.04.2024;2;500
592354;1;CA249;10.09.2024;3;570
165592;2;FO769;22.09.2024;3;690
284237;1;BA736;31.12.2024;2;240
187109;2;SA270;06.08.2024;1;150
641633;3;FO588;30.11.2024;3;690
704895;3;BA522;12.01.2024;1;120
987386;3;SN529;10.02.2024;2;360
969683;3;BO832;13.04.2024;1;300
655706;1;FO632;16.12.2024;2;460
862080;2;FO988;25.07.2024;2;460
864386;1;SN512;07.02.2024;2;360
458046;2;BA831;03.05.2024;1;120
380377;3;CA798;07.05.2024;1;190
828842;2;CA389;22.12.2024;2;380
498407;1;FO392;19.10.2024;1;230
396939;1;SN138;16.06.2024;1;180
121584;2;FO806;19.07.2024;1;230
323346;1;BO146;22.11.2024;2;600
955034;3;HE745;09.03.2024;4;1000
311011;2;HE624;25.09.2024;3;750
983791;1;CA798;09.01.2024;4;760
672519;2;BA251;29.08.2024;3;360
112813;1;BO118;16.05.2024;3;900
920462;1;BO750;13.09.2024;2;600
983209;1;BA661;30.01.2024;4;480
752156;3;BA929;12.09.2024;1;120
415486;1;BA468;19.06.2024;2;240
857016;3;FO607;20.09.2024;3;690
273817;2;SN165;22.02.2024;3;540
679392;3;HE698;25.09.2024;1;250
843248;1;FO440;20.12.2024;4;920
736060;2;CA901;21.04.2024;2;380
261601;1;HE611;23.03.2024;1;250
